04EEw,4r1k1/p2R1p1p/1p2n1p1/5p2/1PB5/5P2/P1P4P/7K b - - 2 28,e6f4 c4f7 g8f8 f7e8,713,82,83,96,advantage endgame fork short,https://lichess.org/PJQFHP20/black#56,
04I5l,5k2/5bp1/7p/p2r4/2KB4/1PP1R1P1/P6P/8 w - - 5 36,e3f3 d5f5 c4d3 f5f3,1205,75,96,2342,crushing discoveredAttack endgame short,https://lichess.org/uBo3xWMr#71,
04IXh,4r3/2R5/p1p3k1/P7/1bB2P2/6K1/8/8 b - - 1 42,c6c5 c4f7 g6f5 f7e8,1754,116,30,20,crushing endgame fork short,https://lichess.org/9pD5KEiq/black#84,
04K8X,n7/p4k2/Pp1R1bpp/8/1Q3P2/2K5/5q2/R7 w - - 12 46,c3b3 f2b2 b3a4 b2a1 a4b5 a8c7,1914,75,82,330,advantage endgame exposedKing fork long,https://lichess.org/Ec36Q9NZ#91,
04KGe,4rrk1/pp3pp1/2p3bp/4n3/5N1P/1B2R1Q1/PqP2PP1/6KR b - - 6 21,g6c2 e3e2 e5f3 g3f3,2330,80,90,191,advantage middlegame short,https://lichess.org/c72kDnyX/black#42,
04RON,7k/p1p2p1p/1p6/8/1P5P/P5B1/2r3PK/8 b - - 0 36,c2c3 g3e5 h8g8 e5c3,817,80,91,93,advantage endgame fork short,https://lichess.org/kpiPlQii/black#72,
04ViB,8/5kpp/4N3/4bP2/p7/P3B2P/1Pp5/K1Rr4 w - - 1 37,e6f4 e5d4 a1a2 d4e3 c1c2 e3f4,1966,75,98,349,advantage endgame fork long pin,https://lichess.org/8qN8bmAK#73,
04aWV,5rk1/5ppp/R7/3N4/1P1bP3/3P2KP/1r4P1/3R4 w - - 3 28,a6d6 d4e5 g3f3 e5d6,1250,77,94,14347,crushing endgame fork short,https://lichess.org/zlHdb50j#55,
04dSw,r4k1N/pp4pp/2p5/6b1/2PR2b1/4n3/PP3PPP/RN4K1 w - - 0 19,f2e3 g5e3 g1h1 e3d4,657,92,88,536,crushing fork middlegame short,https://lichess.org/VtakylJp#37,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
04eNc,5q2/1pk3rQ/p1b2p2/4p3/3b4/1P4P1/P4PN1/3RR1K1 w - - 3 36,h7h6 g7g3 h6f8 g3g2,2092,77,84,85,crushing master middlegame pin sacrifice short,https://lichess.org/obPsUcDY#71,
04hzb,4r3/pkp2p1p/6p1/2pRb3/4P3/2N2P2/PP4PP/6K1 w - - 0 22,d5c5 e5d4 g1f1 d4c5,1137,78,85,156,crushing endgame fork short,https://lichess.org/Yg7DNmFB#43,
04i0H,8/1Rn4p/4pk1b/3p3p/3P4/2P2N2/3N1PPK/3r4 w - - 4 25,b7c7 h6f4 g2g3 f4c7,1737,76,92,1058,advantage endgame fork short,https://lichess.org/FiXuLJyT#49,
04ikT,8/2p1k3/3pP1p1/2bP4/p5K1/6P1/8/2R5 w - - 1 43,g4g5 c5e3 g5g6 e3c1,605,89,83,95,crushing endgame fork short,https://lichess.org/fYpmTT6X#85,
